UF,Casos
11 Rondônia,1166
12 Acre,366
13 Amazonas,2780
14 Roraima,400
15 Pará,7039
16 Amapá,228
17 Tocantins,1060
21 Maranhão,2113
22 Piauí,5527
23 Ceará,6847
24 Rio Grande do Norte,2278
25 Paraíba,1291
26 Pernambuco,20514
27 Alagoas,2095
28 Sergipe,859
29 Bahia,15622
31 Minas Gerais,17939
32 Espírito Santo,2980
33 Rio de Janeiro,18291
35 São Paulo,121866
41 Paraná,27240
42 Santa Catarina,13879
43 Rio Grande do Sul,21352
50 Mato Grosso do Sul,2823
51 Mato Grosso,3219
52 Goiás,5122
53 Distrito Federal,2908
