imunobiologicos de meningite/2023 a 2025/ano e mês/capitais;;;;;;;;;;;;;
UF Residência;Mês Vacina;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
AC;;38.509;33.564;36.589;33.082;33.052;36.718;36.181;25.014;23.165;22.763;21.809;18.626
AL;;132.310;104.321;115.112;113.200;115.645;108.974;139.536;93.589;90.951;101.430;82.955;65.679
AM;;229.485;164.007;183.018;181.047;181.950;180.709;194.768;132.018;115.555;108.983;118.518;95.531
AP;;32.728;27.254;28.723;27.677;27.640;27.675;28.227;23.145;19.215;19.044;17.798;14.519
BA;;451.339;346.196;410.143;385.494;395.749;355.506;455.451;304.748;267.190;296.856;261.396;203.701
CE;;411.261;351.835;291.710;286.350;283.653;268.941;271.527;205.726;194.461;218.458;198.727;159.570
DF;;115.855;96.329;101.016;102.208;111.807;107.579;115.493;82.113;70.429;73.902;67.045;61.789
ES;;177.351;136.649;151.045;148.760;171.690;167.737;136.507;105.588;121.222;110.547;112.262;87.836
GO;;268.903;203.874;225.611;228.158;292.766;284.703;252.089;180.806;153.493;175.763;184.762;137.902
MA;;274.094;202.145;227.471;219.294;219.739;212.586;216.809;178.683;145.515;149.524;153.441;116.297
MG;;795.028;663.689;741.970;938.998;1.307.940;1.136.991;946.448;497.620;399.685;447.641;423.458;343.712
MS;;127.297;101.724;104.305;106.158;111.443;110.664;116.032;84.760;71.740;71.984;73.039;64.349
MT;;181.488;136.034;156.701;146.044;154.665;167.457;160.271;117.902;103.502;106.770;102.949;86.522
PA;;370.343;344.572;307.294;290.887;307.653;292.784;296.663;252.488;191.452;184.885;182.033;149.554
PB;;144.038;129.250;132.345;118.678;128.392;112.679;144.705;98.233;88.447;97.699;84.214;68.483
PE;;302.095;238.513;251.823;258.761;259.130;249.594;298.857;209.544;181.711;210.777;185.463;148.070
PI;;130.371;93.714;104.432;106.438;108.764;103.719;105.428;81.410;66.342;82.386;67.048;59.136
PR;;419.450;325.928;353.266;349.196;368.380;382.302;396.031;297.834;256.088;292.765;284.845;202.371
RJ;;485.600;345.162;389.337;366.245;405.625;416.635;427.602;328.699;292.019;288.283;277.742;260.987
RN;;115.205;93.105;90.473;88.719;98.603;90.704;114.317;74.474;65.369;72.895;62.045;52.834
RO;;75.029;58.587;62.187;60.461;63.042;66.677;63.703;47.944;40.773;46.702;40.878;37.959
RR;;42.983;33.219;37.728;34.610;34.784;36.003;35.686;28.336;24.414;24.390;25.039;20.000
RS;;343.372;286.924;307.541;312.421;329.519;338.553;343.651;261.143;207.181;266.088;236.285;194.772
SC;;279.768;232.510;250.962;248.179;267.881;267.031;274.859;205.008;175.415;205.312;197.538;143.189
SE;;82.458;62.831;70.005;68.053;69.410;63.275;79.725;54.817;46.390;53.636;44.629;37.752
SP;;1.520.718;1.246.737;1.255.085;1.268.783;1.375.105;1.501.151;1.460.190;1.025.423;891.930;972.806;866.925;776.087
TO;;71.173;51.910;56.928;57.062;56.914;57.233;53.485;46.329;37.165;42.552;37.447;33.776
